date,title,amount
2026-07-02,Marcio Parafusos,"26,00"
2026-07-01,iFood - NuPay,"0,90"
2026-07-01,iFood - NuPay,"- 0,90"
2026-07-01,iFood - NuPay,"0,90"
2026-07-01,99Food - NuPay,"18,97"
2026-07-01,Burger King,"50,90"
2026-07-01,99food *99food,"26,44"
2026-06-30,Auto Posto Mariana,"20,00"
2026-06-30,Icaroiannisouza,"222,94"
2026-06-30,Grupo Gennius Brasil P,"32,46"
2026-06-29,App Premmia - NuPay,"119,40"
2026-06-29,Paodapracafestas,"4,67"
2026-06-28,99Food - NuPay,"72,12"
2026-06-27,99Food - NuPay,"- 18,98"
2026-06-27,99Food - NuPay,"39,69"
2026-06-27,Marcio Parafusos,"6,50"
2026-06-27,Mp *Boutiqlabella,"247,08"
2026-06-27,99*,"7,65"
2026-06-27,Uber Uber *Trip Help.U,"11,95"
2026-06-27,Marcio Parafusos,"68,40"
2026-06-27,Marcio Parafusos,"7,90"
2026-06-26,99Food - NuPay,"18,98"
2026-06-26,99*,"8,30"
2026-06-26,Santorini Esfirras,"48,29"
2026-06-26,Deposito Estancia,"51,30"
2026-06-26,Park Plus Estacionam,"24,00"
2026-06-26,Deposito Estancia,"231,20"
2026-06-25,Obracom,"34,50"
2026-06-24,Obracom,"35,00"
2026-06-24,Uber Uber *Trip Help.U,"15,15"
2026-06-23,App Premmia - NuPay,"77,40"
2026-06-23,Obracom,"39,00"
2026-06-22,Posto Abre Campo,"100,00"
2026-06-21,Comercial e Terraplana,"8,80"
2026-06-19,App Premmia - NuPay,"161,36"
2026-06-18,Cea Bhm 640 Ecpc,"79,99"
2026-06-18,Lojas Renner Fl - Parcela 1/3,"73,28"
2026-06-17,Justos Seguros,"538,07"
2026-06-16,Mercadolivre*Mercadol,"359,10"
2026-06-15,Casas Bahia - NuPay - Parcela 1/10,"167,51"
2026-06-15,Sup Epa Cento e Trinta,"60,18"
2026-06-14,Carlos Cesar Jardim,"75,87"
2026-06-13,Sn Cidade Nova,"59,33"
2026-06-13,Pg *Constance - Parcela 1/6,"51,69"
2026-06-12,App Premmia - NuPay,"118,80"
2026-06-12,Google Youtubepremium,"26,90"
2026-06-12,99*,"14,60"
2026-06-11,Culinaria Japan Gda,"482,35"
2026-06-10,Supermercados Bh - Parcela 1/3,"274,79"
2026-06-10,Uber Uber *Trip Help.U,"14,20"
2026-06-09,Uber Uber *Trip Help.U,"10,32"
2026-06-09,99*,"10,00"
2026-06-08,Pagamento recebido,"- 4.456,61"
2026-06-04,App Premmia - NuPay,"85,80"
2026-06-04,Uber Uber *Trip Help.U,"9,65"
2026-06-04,Sup Epa Cinquenta,"356,24"
2026-06-04,e Suites Lagoa Santa,"135,30"
2026-06-03,App Premmia - NuPay,"311,21"
2026-06-03,App Premmia - NuPay,"118,80"
2026-06-03,IOF de compra internacional,"1,88"
2026-06-03,Cursor Ai Powered Ide,"53,84"
2026-06-02,IOF de volta de Cursor Ai Powered Ide,"- 1,88"
2026-06-02,Nuv*Emporiovilare,"198,30"
2026-06-01,Pagamento recebido,"- 2.500,00"
2026-06-01,Reversão do Crédito de confiança de Vantagens.Cvolta.Com,"27,00"
2026-06-01,Estorno de compra (Compra e Volta),"- 27,00"
2026-06-01,ZP*OLX - NuPay - Parcela 3/3,"434,29"
2026-06-01,Super Coelho Diniz - Parcela 2/5,"74,39"
2026-06-01,Supermercados Bh - Parcela 3/3,"352,59"
2026-06-01,Amazonmktplc*Fidcomerc - Parcela 8/12,"61,07"
2026-06-01,K2 Phones - Parcela 2/10,"133,30"
2026-06-01,Mercadolivre*2produto - Parcela 7/12,"98,21"
2026-06-01,Casas Lealtex - Parcela 3/6,"35,32"
